,title,text,sentiments,sentiment_score
0,The Purpose of Art,"I believe Banksy's art is a powerful way to advocate for marginalized voices. We can use it to address local immigration issues, just like he does. Street art should be a platform for activism.",approval,0.6412369012832642
1,The Purpose of Art,"I believe Banksy's art is a powerful way to advocate for marginalized voices. We can use it to address local immigration issues, just like he does. Street art should be a platform for activism.",admiration,0.26269134879112244
0,The Purpose of Art,"While I see your point, I think Banksy’s work is often more about provoking thought than providing solutions. He uses satire to challenge societal norms, but that doesn’t always translate into actionable change. It can be seen as merely performative.",neutral,0.49418845772743225
1,The Purpose of Art,"While I see your point, I think Banksy’s work is often more about provoking thought than providing solutions. He uses satire to challenge societal norms, but that doesn’t always translate into actionable change. It can be seen as merely performative.",approval,0.41274532675743103
0,The Purpose of Art,"But isn’t it performative action that gets people talking? We need to engage the community through discussions sparked by our art, even if it's not a direct solution.",curiosity,0.4173913598060608
1,The Purpose of Art,"But isn’t it performative action that gets people talking? We need to engage the community through discussions sparked by our art, even if it's not a direct solution.",neutral,0.23018403351306915
0,The Purpose of Art,"I’m concerned about the risks of public engagement. Street art can be seen as vandalism, and if we align ourselves with controversial themes, it could backfire and lead to negative consequences for our careers as artists.",caring,0.5827654600143433
0,The Purpose of Art,"That’s a valid concern, but history shows that the most impactful art often comes from a place of risk. Banksy took that risk, and it’s paid off. If we want to create real dialogue, we must be willing to stand behind our beliefs, even if it means facing backlash.",approval,0.8190006613731384
0,The Purpose of Art,But does that mean we should intentionally provoke outrage? I believe there are ways to engage the community without putting ourselves in jeopardy.,confusion,0.5184875130653381
1,The Purpose of Art,But does that mean we should intentionally provoke outrage? I believe there are ways to engage the community without putting ourselves in jeopardy.,curiosity,0.4627763330936432
0,The Purpose of Art,We need to address local issues like immigration and identity through our art. That’s where we can make a significant impact.,approval,0.42221927642822266
0,The Purpose of Art,"While those are important, I think we need to consider a broader spectrum of local issues, including socioeconomic factors or environmental concerns. Focusing solely on immigration may alienate other groups in our community.",neutral,0.3095483183860779
1,The Purpose of Art,"While those are important, I think we need to consider a broader spectrum of local issues, including socioeconomic factors or environmental concerns. Focusing solely on immigration may alienate other groups in our community.",approval,0.22386442124843597
